Subject,Trial,Fixation #,X_Coord,Y_Coord,ROI,feature
33.0,2.0,4.0,1046.57,549.25,eye,"[ 6.89267881e-02 -7.76052193e-02  1.10329932e-01  2.09383783e-02
  2.77212022e-02  5.86386339e-02  6.12941295e+01 -6.71540212e+00
  6.65195804e+01  1.00006222e+01  5.13712990e+00  1.08054870e+01
  3.17000000e-01]"
33.0,2.0,5.0,1047.34,555.14,eye,"[ 1.15654840e-01 -2.90782458e-02  1.91479953e-01  1.01718016e-01
  6.49657104e-02  1.62032198e-01  3.39911844e+02  4.47746035e+01
  4.31505967e+02  2.29969827e+02  6.13608055e+01  2.81251080e+02
  7.00000000e-03]"
33.0,2.0,6.0,1097.19,415.27,,"[ 8.36958080e-02 -8.40150490e-02  1.46892133e-01  3.13487652e-02
  4.72776115e-02  1.02720394e-01  6.67191899e+01 -3.13261811e+01
  1.13375300e+02  1.29096758e+01  8.37470204e+00  2.02627690e+01
  1.51000000e-01]"
33.0,2.0,7.0,1108.85,432.67,,"[ 4.92999779e-02 -4.02257715e-02  1.19306363e-01  1.62397392e-02
  3.38149582e-02  6.39331098e-02  6.52500757e+01 -9.21735281e+00
  5.12260199e+01  9.78920192e+00  4.16569361e+00  7.22293926e+00
  4.24000000e-01]"
33.0,2.0,8.0,1089.44,517.13,eye,"[ 3.10051530e-01 -3.11804687e-01  3.60291933e-01  6.46727524e-02
  7.71668430e-02  1.45861986e-01  8.92405456e+01 -4.30609352e+00
  7.03954247e+01  2.22168104e+01  1.10730637e+01  1.72836572e+01
  8.60000000e-02]"
33.0,2.0,9.0,1077.96,485.91,eye,"[ 3.41343635e-02 -2.65086284e-02  1.02881493e-01  1.81055734e-02
  2.95091364e-02  7.33178734e-02  4.54240728e+01 -5.59202358e+00
  1.02066280e+02  8.75331062e+00  7.64371880e+00  2.06911326e+01
  1.55000000e-01]"
33.0,2.0,10.0,1076.5,481.43,eye,"[ 9.49745266e-02 -7.75366989e-02  8.66943814e-01  8.13922963e-02
  1.19288483e-01  4.39068783e-01  9.38321233e+02 -1.06965173e+01
  6.17296458e+01  6.82930770e+02  5.56458055e+01  4.38873385e+01
  6.00000000e-03]"
33.0,2.0,11.0,1099.08,435.38,,"[ 3.45360842e-02 -4.53414452e-02  1.21191852e-01  1.38805888e-02
  2.85469728e-02  8.57476513e-02  5.73107629e+01 -2.12953348e+01
  9.17359263e+01  9.51980951e+00  6.39080542e+00  1.44879317e+01
  2.50000000e-01]"
33.0,2.0,12.0,1110.94,425.25,,"[ 4.86012018e-02 -4.98216480e-02  1.07553832e-01  1.83813890e-02
  3.41721058e-02  7.57790567e-02  5.44797774e+01 -1.99622055e+01
  5.45939159e+01  9.12711572e+00  5.08157768e+00  8.65257040e+00
  2.30000000e-01]"
33.0,2.0,13.0,1107.2,417.77,,"[ 4.10148526e-02 -3.90380904e-02  9.90130422e-02  1.53494761e-02
  3.21238581e-02  7.23298898e-02  3.92588269e+01  4.08115888e+00
  5.09377220e+01  7.41203568e+00  4.88976746e+00  9.87694207e+00
  1.72000000e-01]"
33.0,2.0,14.0,1105.33,423.22,,"[ 9.62261636e-01 -7.09768483e-01  1.08139904e+00  4.34347364e-01
  4.87169582e-01  8.68979570e-01  6.05396810e+02 -2.39555826e+01
  1.31495897e+03  4.39571672e+02  7.56672285e+01  8.89070386e+02
  6.00000000e-03]"
33.0,2.0,15.0,1048.41,513.61,eye,"[ 4.38690099e-02 -3.12539132e-02  7.26266743e-02  2.48635467e-02
  3.15985032e-02  5.97530571e-02  1.07328020e+02 -3.84783187e+01
  1.51805686e+02  2.02272297e+01  1.16569231e+01  2.81898283e+01
  1.68000000e-01]"
33.0,2.0,16.0,1036.44,506.96,eye,"[ 3.99742873e-02 -2.39377203e-02  1.12234184e-01  2.45145064e-02
  3.45483841e-02  7.24240489e-02  7.20335391e+01 -2.25544016e+01
  7.85545988e+01  1.46559242e+01  8.73891121e+00  1.57423256e+01
  1.32000000e-01]"
33.0,2.0,17.0,1036.96,506.71,eye,"[ 1.14186588e-01 -9.26237411e-02  9.47789347e-01  9.83465730e-02
  1.45707514e-01  7.41132757e-01  5.58101968e+02 -8.00245852e+00
  5.13939260e+02  3.85197984e+02  7.19969675e+01  3.35518623e+02
  7.00000000e-03]"
33.0,2.0,18.0,1106.9,423.07,,"[ 3.79433005e-02 -4.65483146e-02  1.20828527e-01  1.34780783e-02
  2.99632642e-02  8.13073624e-02  1.11173151e+02 -3.28869365e+00
  6.77342260e+01  1.71184608e+01  6.06824932e+00  1.01311781e+01
  4.20000000e-01]"
33.0,2.0,19.0,1106.9,424.32,,"[ 1.60134151e+00 -9.28013887e-01  9.95391547e-01  5.88973558e-01
  4.89134455e-01  6.82881686e-01  1.07262475e+03 -1.15896117e+02
  3.30111981e+02  7.22634965e+02  9.13993066e+01  2.15302696e+02
  6.00000000e-03]"
33.0,2.0,20.0,1051.26,503.03,eye,"[ 3.39536483e-02 -2.65168063e-02  7.76285379e-02  2.00434395e-02
  2.94621580e-02  6.59645169e-02  1.04611652e+02 -4.08255194e+01
  1.95628187e+02  2.03731075e+01  1.16050427e+01  3.60272588e+01
  1.62000000e-01]"
33.0,2.0,21.0,1052.74,503.82,eye,"[ 2.74042728e-01 -9.52274559e-02  2.17518284e-01  1.69387504e-01
  1.30686999e-01  1.90078661e-01  7.83250610e+01 -1.95418912e+01
  2.04135787e+02  5.91372400e+01  2.57145516e+01  1.44270769e+02
  5.00000000e-03]"
33.0,2.0,22.0,1038.62,554.1,eye,"[ 5.14075287e-02 -4.82212345e-02  7.86981095e-02  2.10734088e-02
  2.83891764e-02  5.67704874e-02  9.01218878e+01 -1.43185198e+01
  1.08188145e+02  1.53196321e+01  8.63131880e+00  1.82156855e+01
  2.49000000e-01]"
33.0,2.0,23.0,1041.51,555.36,eye,"[ 2.87236133e-01 -4.20808612e-02  3.66501172e-01  2.27896202e-01
  1.35838904e-01  3.02731811e-01  2.69879850e+02 -3.83239943e+01
  9.89625687e+02  1.89714957e+02  5.84730353e+01  6.33487851e+02
  7.00000000e-03]"
33.0,2.0,24.0,1076.77,452.62,,"[ 7.11597952e-02 -3.31355776e-02  1.01884665e-01  3.11702591e-02
  4.29837301e-02  6.35204545e-02  7.52044744e+01 -3.18760410e+00
  4.74618123e+01  1.52300037e+01  7.14793119e+00  9.69510858e+00
  1.32000000e-01]"
33.0,2.0,25.0,1093.36,420.29,,"[ 3.62397654e-02 -4.43506349e-02  1.15362907e-01  1.46427524e-02
  2.98134312e-02  8.12605273e-02  7.97696694e+01 -1.51280873e+01
  9.85232241e+01  1.21142242e+01  6.53510714e+00  1.44239980e+01
  3.71000000e-01]"
33.0,2.0,26.0,1094.17,420.71,,"[ 1.40820180e-01 -4.02143515e-02  3.35969851e-01  8.41564767e-02
  9.95391366e-02  2.81515216e-01  2.95213586e+01 -2.00057786e+00
  8.83181458e+02  2.10771055e+01  2.01615330e+01  5.61542890e+02
  7.00000000e-03]"
33.0,2.0,27.0,1122.19,918.47,,"[ 9.59273492e-02 -4.61128210e-02  3.93574211e-02  3.30491511e-02
  2.88625889e-02  3.09505701e-02  8.02762180e+01  2.49102629e+01
  5.66723831e+01  1.71950981e+01  7.88461235e+00  1.21944651e+01
  1.24000000e-01]"
33.0,2.0,28.0,1124.57,924.55,,"[ 1.12785545e+00 -1.61279593e-01  1.42139023e-01  4.65589558e-01
  1.97965389e-01  1.20490564e-01  6.69269389e+02  5.79443925e+01
  2.13516733e+02  4.77933811e+02  7.12801935e+01  1.43038507e+02
  6.00000000e-03]"
