,first layer,second layer,third layer,train,test
2027,110,50,120,1.0,0.6352941176470587
2028,110,50,130,1.0,0.6509803921568627
2029,110,50,140,1.0,0.6392156862745098
2030,110,60,10,1.0,0.6352941176470588
2031,110,60,20,1.0,0.6509803921568628
2032,110,60,30,1.0,0.6627450980392156
2033,110,60,40,1.0,0.6588235294117646
2034,110,60,50,1.0,0.6392156862745098
2035,110,60,60,1.0,0.6705882352941176
2036,110,60,70,1.0,0.6549019607843136
2037,110,60,80,1.0,0.6705882352941175
2038,110,60,90,1.0,0.6313725490196078
2039,110,60,100,1.0,0.6235294117647058
2040,110,60,110,1.0,0.6470588235294117
2041,110,60,120,1.0,0.6666666666666665
2042,110,60,130,1.0,0.6313725490196077
2043,110,60,140,1.0,0.6509803921568627
2044,110,70,10,1.0,0.6392156862745098
2045,110,70,20,1.0,0.6392156862745098
2046,110,70,30,1.0,0.6313725490196077
2047,110,70,40,1.0,0.6588235294117646
2048,110,70,50,1.0,0.6470588235294118
2049,110,70,60,1.0,0.6352941176470588
2050,110,70,70,1.0,0.6509803921568628
2051,110,70,80,1.0,0.6431372549019607
2052,110,70,90,1.0,0.6431372549019607
2053,110,70,100,1.0,0.6274509803921567
2054,110,70,110,1.0,0.6431372549019607
2055,110,70,120,1.0,0.6509803921568627
2056,110,70,130,1.0,0.6470588235294117
2057,110,70,140,1.0,0.6156862745098038
2058,110,80,10,1.0,0.6509803921568625
2059,110,80,20,1.0,0.6392156862745098
2060,110,80,30,1.0,0.6431372549019607
2061,110,80,40,1.0,0.6549019607843136
2062,110,80,50,1.0,0.6470588235294117
2063,110,80,60,1.0,0.6588235294117646
2064,110,80,70,1.0,0.6784313725490194
2065,110,80,80,1.0,0.6352941176470587
2066,110,80,90,1.0,0.6823529411764705
2067,110,80,100,1.0,0.6784313725490195
2068,110,80,110,1.0,0.6705882352941176
2069,110,80,120,1.0,0.6392156862745098
2070,110,80,130,1.0,0.6784313725490195
2071,110,80,140,1.0,0.6274509803921567
2072,110,90,10,0.9992982456140351,0.6509803921568627
2073,110,90,20,1.0,0.6392156862745096
2074,110,90,30,1.0,0.6509803921568625
2075,110,90,40,1.0,0.6509803921568627
2076,110,90,50,1.0,0.6509803921568627
2077,110,90,60,1.0,0.6509803921568628
2078,110,90,70,1.0,0.6745098039215685
2079,110,90,80,1.0,0.6549019607843136
2080,110,90,90,1.0,0.6313725490196078
2081,110,90,100,1.0,0.6549019607843136
2082,110,90,110,1.0,0.6627450980392156
2083,110,90,120,1.0,0.6352941176470588
2084,110,90,130,1.0,0.6352941176470587
