,type,first layer,second layer,train,test
332,eda,80,130,1.0,0.5980392156862744
333,hr,80,140,1.0,0.5235294117647058
334,pupil,80,140,1.0,0.5490196078431373
335,eda,80,140,1.0,0.6058823529411764
336,hr,90,10,0.9974358974358974,0.5196078431372549
337,pupil,90,10,1.0,0.5627450980392157
338,eda,90,10,0.9982905982905983,0.6019607843137254
339,hr,90,20,1.0,0.503921568627451
340,pupil,90,20,1.0,0.5705882352941176
341,eda,90,20,0.9982905982905983,0.6098039215686273
342,hr,90,30,1.0,0.5215686274509804
343,pupil,90,30,1.0,0.5627450980392157
344,eda,90,30,0.9974358974358974,0.6137254901960784
345,hr,90,40,1.0,0.5176470588235292
346,pupil,90,40,1.0,0.5509803921568627
347,eda,90,40,0.9991452991452991,0.6235294117647058
348,hr,90,50,1.0,0.5058823529411764
349,pupil,90,50,1.0,0.5490196078431372
350,eda,90,50,1.0,0.6176470588235293
351,hr,90,60,1.0,0.5058823529411764
352,pupil,90,60,1.0,0.5450980392156862
353,eda,90,60,1.0,0.6058823529411763
354,hr,90,70,1.0,0.5137254901960783
355,pupil,90,70,1.0,0.5705882352941176
356,eda,90,70,1.0,0.6078431372549019
357,hr,90,80,1.0,0.5137254901960785
358,pupil,90,80,1.0,0.5529411764705883
359,eda,90,80,1.0,0.6156862745098038
360,hr,90,90,1.0,0.5117647058823529
361,pupil,90,90,1.0,0.5607843137254901
362,eda,90,90,0.9991452991452991,0.6019607843137254
363,hr,90,100,1.0,0.5078431372549019
364,pupil,90,100,1.0,0.5607843137254902
365,eda,90,100,1.0,0.6019607843137255
366,hr,90,110,1.0,0.5215686274509804
367,pupil,90,110,1.0,0.5490196078431372
368,eda,90,110,1.0,0.6274509803921567
369,hr,90,120,1.0,0.5137254901960785
370,pupil,90,120,1.0,0.5607843137254902
371,eda,90,120,1.0,0.6176470588235293
372,hr,90,130,1.0,0.5156862745098039
373,pupil,90,130,1.0,0.5509803921568628
374,eda,90,130,0.9991452991452991,0.6137254901960785
375,hr,90,140,1.0,0.5058823529411764
376,pupil,90,140,1.0,0.5470588235294117
377,eda,90,140,0.9991452991452991,0.6137254901960784
378,hr,100,10,0.9991452991452991,0.5254901960784314
379,pupil,100,10,1.0,0.5823529411764706
380,eda,100,10,0.9982905982905983,0.6058823529411764
381,hr,100,20,1.0,0.5215686274509804
382,pupil,100,20,1.0,0.5784313725490196
383,eda,100,20,0.9965811965811966,0.6294117647058822
384,hr,100,30,1.0,0.5176470588235295
385,pupil,100,30,1.0,0.5666666666666667
386,eda,100,30,0.9991452991452991,0.6019607843137255
387,hr,100,40,1.0,0.496078431372549
388,pupil,100,40,1.0,0.5764705882352941
389,eda,100,40,1.0,0.6058823529411764
390,hr,100,50,1.0,0.5137254901960785
391,pupil,100,50,1.0,0.5647058823529412
392,eda,100,50,1.0,0.5901960784313725
393,hr,100,60,1.0,0.5058823529411764
394,pupil,100,60,1.0,0.5784313725490194
395,eda,100,60,1.0,0.6196078431372548
396,hr,100,70,1.0,0.5313725490196078
397,pupil,100,70,1.0,0.5666666666666667
398,eda,100,70,1.0,0.6117647058823529
399,hr,100,80,1.0,0.5352941176470588
400,pupil,100,80,1.0,0.5627450980392157
401,eda,100,80,1.0,0.588235294117647
402,hr,100,90,1.0,0.5019607843137254
403,pupil,100,90,1.0,0.5627450980392157
404,eda,100,90,0.9982905982905983,0.6215686274509803
405,hr,100,100,1.0,0.5196078431372549
406,pupil,100,100,1.0,0.5705882352941177
407,eda,100,100,0.9991452991452991,0.6196078431372548
408,hr,100,110,1.0,0.4843137254901961
409,pupil,100,110,1.0,0.5627450980392157
410,eda,100,110,1.0,0.6058823529411763
411,hr,100,120,1.0,0.49999999999999994
412,pupil,100,120,1.0,0.5764705882352941
413,eda,100,120,0.9991452991452991,0.5960784313725489
414,hr,100,130,1.0,0.49999999999999994
415,pupil,100,130,1.0,0.5745098039215686
416,eda,100,130,0.9991452991452991,0.6078431372549018
417,hr,100,140,1.0,0.5196078431372549
418,pupil,100,140,1.0,0.5745098039215686
419,eda,100,140,1.0,0.6137254901960784
420,hr,110,10,1.0,0.507843137254902
421,pupil,110,10,1.0,0.5666666666666667
422,eda,110,10,0.9991452991452991,0.6039215686274509
423,hr,110,20,1.0,0.515686274509804
424,pupil,110,20,1.0,0.5549019607843136
425,eda,110,20,0.9991452991452991,0.6058823529411763
426,hr,110,30,0.9991452991452991,0.5019607843137254
427,pupil,110,30,1.0,0.5764705882352941
428,eda,110,30,1.0,0.6078431372549018
429,hr,110,40,1.0,0.523529411764706
430,pupil,110,40,1.0,0.580392156862745
431,eda,110,40,1.0,0.6137254901960784
432,hr,110,50,1.0,0.496078431372549
433,pupil,110,50,1.0,0.5686274509803921
434,eda,110,50,0.9982905982905983,0.6098039215686273
435,hr,110,60,1.0,0.5254901960784314
436,pupil,110,60,1.0,0.5666666666666667
437,eda,110,60,1.0,0.6078431372549019
438,hr,110,70,1.0,0.5078431372549019
439,pupil,110,70,1.0,0.5686274509803921
440,eda,110,70,1.0,0.5921568627450979
441,hr,110,80,1.0,0.5215686274509804
442,pupil,110,80,1.0,0.5745098039215686
443,eda,110,80,1.0,0.6058823529411764
444,hr,110,90,1.0,0.5137254901960784
445,pupil,110,90,1.0,0.5705882352941176
446,eda,110,90,1.0,0.6156862745098038
447,hr,110,100,1.0,0.5333333333333333
448,pupil,110,100,1.0,0.5823529411764705
449,eda,110,100,1.0,0.6098039215686274
450,hr,110,110,1.0,0.5254901960784314
451,pupil,110,110,1.0,0.5705882352941176
452,eda,110,110,1.0,0.5980392156862744
453,hr,110,120,1.0,0.5058823529411766
454,pupil,110,120,1.0,0.5666666666666667
455,eda,110,120,1.0,0.5901960784313725
456,hr,110,130,1.0,0.5372549019607842
457,pupil,110,130,1.0,0.5607843137254902
458,eda,110,130,1.0,0.6078431372549018
459,hr,110,140,1.0,0.5196078431372548
460,pupil,110,140,1.0,0.5588235294117647
461,eda,110,140,1.0,0.6137254901960782
462,hr,120,10,0.9991452991452991,0.5058823529411764
463,pupil,120,10,1.0,0.5803921568627451
464,eda,120,10,0.9965811965811966,0.6
465,hr,120,20,1.0,0.5117647058823529
