,first layer,second layer,train,test
107,80,100,1.0,0.6196078431372548
108,80,110,1.0,0.6235294117647058
109,80,120,1.0,0.6392156862745098
110,80,130,1.0,0.6196078431372548
111,80,140,1.0,0.6196078431372548
112,90,10,1.0,0.6078431372549019
113,90,20,1.0,0.6352941176470588
114,90,30,1.0,0.6470588235294117
115,90,40,1.0,0.6392156862745098
116,90,50,1.0,0.6313725490196077
117,90,60,1.0,0.6549019607843136
118,90,70,1.0,0.6509803921568627
119,90,80,1.0,0.6470588235294117
120,90,90,1.0,0.6274509803921567
121,90,100,1.0,0.6431372549019606
122,90,110,1.0,0.6431372549019607
123,90,120,1.0,0.6352941176470587
124,90,130,1.0,0.6588235294117646
125,90,140,1.0,0.6470588235294117
126,100,10,0.9992982456140351,0.6392156862745098
127,100,20,1.0,0.6627450980392156
128,100,30,1.0,0.6235294117647058
129,100,40,1.0,0.6588235294117646
130,100,50,1.0,0.6745098039215686
131,100,60,1.0,0.6313725490196077
132,100,70,1.0,0.6352941176470587
133,100,80,1.0,0.6313725490196078
134,100,90,1.0,0.6274509803921567
135,100,100,1.0,0.6470588235294117
136,100,110,1.0,0.6705882352941175
137,100,120,1.0,0.6313725490196077
138,100,130,1.0,0.6392156862745098
139,100,140,1.0,0.6392156862745096
140,110,10,1.0,0.6352941176470587
141,110,20,1.0,0.6392156862745098
142,110,30,1.0,0.6705882352941175
143,110,40,1.0,0.6274509803921567
144,110,50,1.0,0.6431372549019606
145,110,60,1.0,0.6588235294117646
146,110,70,1.0,0.6549019607843136
147,110,80,1.0,0.6431372549019607
148,110,90,1.0,0.6588235294117647
149,110,100,1.0,0.6352941176470588
150,110,110,1.0,0.6352941176470587
151,110,120,1.0,0.6235294117647058
152,110,130,1.0,0.6274509803921569
153,110,140,1.0,0.6352941176470588
154,120,10,1.0,0.6117647058823529
155,120,20,1.0,0.6392156862745098
156,120,30,1.0,0.6470588235294116
157,120,40,1.0,0.6274509803921567
158,120,50,1.0,0.6313725490196078
159,120,60,1.0,0.6431372549019607
160,120,70,1.0,0.6431372549019607
161,120,80,1.0,0.6313725490196077
162,120,90,1.0,0.6392156862745096
163,120,100,1.0,0.6156862745098038
164,120,110,1.0,0.6509803921568625
165,120,120,1.0,0.6588235294117646
166,120,130,1.0,0.6274509803921567
167,120,140,1.0,0.6274509803921567
168,130,10,1.0,0.6431372549019607
169,130,20,1.0,0.6588235294117646
170,130,30,1.0,0.6470588235294117
171,130,40,1.0,0.6431372549019607
172,130,50,1.0,0.6274509803921569
173,130,60,1.0,0.6392156862745098
174,130,70,1.0,0.6549019607843136
175,130,80,1.0,0.6313725490196078
176,130,90,1.0,0.6705882352941175
177,130,100,1.0,0.6470588235294117
178,130,110,1.0,0.6235294117647058
179,130,120,1.0,0.6666666666666665
180,130,130,1.0,0.6470588235294116
181,130,140,1.0,0.6666666666666665
182,140,10,1.0,0.6392156862745098
183,140,20,1.0,0.6392156862745098
184,140,30,1.0,0.6392156862745098
185,140,40,1.0,0.6352941176470588
186,140,50,1.0,0.6196078431372549
187,140,60,1.0,0.6352941176470587
188,140,70,1.0,0.6549019607843136
189,140,80,1.0,0.6588235294117646
190,140,90,1.0,0.6392156862745098
191,140,100,1.0,0.6313725490196077
192,140,110,1.0,0.6470588235294117
193,140,120,1.0,0.6549019607843136
194,140,130,1.0,0.6470588235294117
195,140,140,1.0,0.6352941176470587
