,expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender
64,LookAtMe1.2,45,1,2,1,2,65,45,3.0,0.6548678409308195,False,stim\morph\7&8 20.jpg,2019-02-21 09:53:07,5,1
65,LookAtMe1.2,45,1,2,1,2,66,46,3.0,0.3892533583566546,True,stim\7 F080C.jpg,2019-02-21 09:53:17,6,1
66,LookAtMe1.2,45,1,2,1,2,67,13,2.0,0.8655397268012166,False,stim\morph\1&2 40.jpg,2019-02-21 09:53:26,3,0
67,LookAtMe1.2,45,1,2,1,2,68,16,4.0,0.3211760483682155,True,stim\2 M024C + M010C.jpg,2019-02-21 09:53:35,6,0
68,LookAtMe1.2,45,1,2,1,2,69,42,1.0,0.7357751857489347,False,stim\morph\7&8 80.jpg,2019-02-21 09:53:44,2,1
69,LookAtMe1.2,45,1,2,1,2,70,12,1.0,0.6925070183351636,False,stim\morph\1&2 20.jpg,2019-02-21 09:53:54,2,0
70,LookAtMe1.2,45,1,2,1,2,71,46,3.0,0.6193956481292844,False,stim\7 F080C.jpg,2019-02-21 09:54:04,6,1
71,LookAtMe1.2,45,1,2,1,2,72,44,1.0,0.6464306656271219,False,stim\morph\7&8 40.jpg,2019-02-21 09:54:13,4,1
72,LookAtMe1.2,45,1,2,1,2,73,41,1.0,0.5023262333124876,False,stim\8 F080C + F101C.jpg,2019-02-21 09:54:23,1,1
73,LookAtMe1.2,45,1,2,1,2,74,11,1.0,0.4794094460085034,False,stim\1 M024C.jpg,2019-02-21 09:54:33,1,0
74,LookAtMe1.2,45,1,2,1,2,75,14,1.0,0.7823268817737699,False,stim\morph\1&2 60.jpg,2019-02-21 09:54:41,4,0
75,LookAtMe1.2,45,1,2,1,2,76,43,1.0,0.6903848052024841,False,stim\morph\7&8 60.jpg,2019-02-21 09:54:50,3,1
76,LookAtMe1.2,45,1,2,1,2,77,14,1.0,0.6359394835308194,False,stim\morph\1&2 60.jpg,2019-02-21 09:55:00,4,0
77,LookAtMe1.2,45,1,2,1,2,78,43,1.0,0.3955544978380203,False,stim\morph\7&8 60.jpg,2019-02-21 09:55:09,3,1
78,LookAtMe1.2,45,1,2,1,2,79,42,1.0,0.4864888004958629,False,stim\morph\7&8 80.jpg,2019-02-21 09:55:19,2,1
79,LookAtMe1.2,45,1,2,1,2,80,15,1.0,0.6319465478882194,False,stim\morph\1&2 80.jpg,2019-02-21 09:55:28,5,0
80,LookAtMe1.2,45,1,2,1,2,81,16,4.0,0.4932208135724067,True,stim\2 M024C + M010C.jpg,2019-02-21 09:55:37,6,0
81,LookAtMe1.2,45,1,2,1,2,82,13,1.0,0.4633971415460109,False,stim\morph\1&2 40.jpg,2019-02-21 09:55:46,3,0
82,LookAtMe1.2,45,1,2,1,2,83,44,1.0,0.3715617302805185,False,stim\morph\7&8 40.jpg,2019-02-21 09:55:56,4,1
83,LookAtMe1.2,45,1,2,1,2,84,46,3.0,0.467108235694468,False,stim\7 F080C.jpg,2019-02-21 09:56:06,6,1
84,LookAtMe1.2,45,1,2,1,2,85,41,1.0,0.3745117373764515,False,stim\8 F080C + F101C.jpg,2019-02-21 09:56:15,1,1
85,LookAtMe1.2,45,1,2,1,2,86,12,1.0,0.7155581153929234,False,stim\morph\1&2 20.jpg,2019-02-21 09:56:24,2,0
86,LookAtMe1.2,45,1,2,1,2,87,46,3.0,0.7939916979521513,True,stim\7 F080C.jpg,2019-02-21 09:56:33,6,1
87,LookAtMe1.2,45,1,2,1,2,88,16,5.0,0.5406267428770661,False,stim\2 M024C + M010C.jpg,2019-02-21 09:56:42,6,0
88,LookAtMe1.2,45,1,2,1,2,89,45,1.0,0.5461992444470525,False,stim\morph\7&8 20.jpg,2019-02-21 09:56:51,5,1
89,LookAtMe1.2,45,1,2,1,2,90,11,1.0,0.5413244320079684,False,stim\1 M024C.jpg,2019-02-21 09:57:01,1,0
90,LookAtMe1.2,45,1,2,1,2,91,45,1.0,0.5788001539185643,False,stim\morph\7&8 20.jpg,2019-02-21 09:57:11,5,1
91,LookAtMe1.2,45,1,2,1,2,92,11,1.0,0.9184619700536132,False,stim\1 M024C.jpg,2019-02-21 09:57:20,1,0
92,LookAtMe1.2,45,1,2,1,2,93,46,3.0,0.6014525284990668,False,stim\7 F080C.jpg,2019-02-21 09:57:30,6,1
