Subject,Latent dimension,Feature type,Train accuracy,Test accuracy,Validation accuracy
10,8,pupil,0.6410256410256411,0.6086956521739131,0.5454545454545454
10,9,hr,0.6794871794871795,0.4347826086956521,0.6363636363636364
10,9,eda,0.6666666666666666,0.3043478260869565,0.2727272727272727
10,9,pupil,0.6410256410256411,0.4782608695652174,0.5454545454545454
10,10,hr,0.7435897435897436,0.4782608695652174,0.5454545454545454
10,10,eda,0.6538461538461539,0.4782608695652174,0.5454545454545454
10,10,pupil,0.6282051282051282,0.4347826086956521,0.6363636363636364
41,2,hr,0.6410256410256411,0.7391304347826086,0.5454545454545454
41,2,eda,0.5512820512820513,0.6956521739130435,0.6363636363636364
41,2,pupil,0.6153846153846154,0.8260869565217391,0.7272727272727273
41,3,hr,0.8333333333333334,0.8260869565217391,0.7272727272727273
41,3,eda,0.6538461538461539,0.6086956521739131,0.8181818181818182
41,3,pupil,0.6153846153846154,0.8260869565217391,0.7272727272727273
41,4,hr,0.7948717948717948,0.8260869565217391,0.7272727272727273
41,4,eda,0.6410256410256411,0.4782608695652174,0.3636363636363636
41,4,pupil,0.6153846153846154,0.8260869565217391,0.7272727272727273
41,5,hr,0.7948717948717948,0.8260869565217391,0.7272727272727273
41,5,eda,0.6666666666666666,0.4347826086956521,0.4545454545454545
41,5,pupil,0.6153846153846154,0.8260869565217391,0.7272727272727273
41,6,hr,0.8205128205128205,0.8260869565217391,0.7272727272727273
41,6,eda,0.6025641025641025,0.391304347826087,0.4545454545454545
41,6,pupil,0.6153846153846154,0.8260869565217391,0.7272727272727273
41,7,hr,0.8461538461538461,0.8260869565217391,0.7272727272727273
41,7,eda,0.6410256410256411,0.391304347826087,0.2727272727272727
41,7,pupil,0.6153846153846154,0.8260869565217391,0.7272727272727273
41,8,hr,0.8589743589743589,0.8260869565217391,0.7272727272727273
41,8,eda,0.6153846153846154,0.8260869565217391,0.6363636363636364
41,8,pupil,0.6153846153846154,0.8260869565217391,0.7272727272727273
