subject,type,fold,train,test my accuracy,test posterior
50,eda,1,0.6179775280898876,0.5217391304347826,0.5652173913043478
50,eda,2,0.4943820224719101,0.4782608695652174,0.391304347826087
50,pupil,0,0.7191011235955056,0.43478260869565216,0.6086956521739131
50,pupil,1,0.7078651685393258,0.5217391304347826,0.5217391304347826
50,pupil,2,0.6741573033707865,0.5652173913043478,0.4782608695652174
51,hr,0,0.5617977528089888,0.6956521739130435,0.5652173913043478
51,hr,1,0.5617977528089888,0.4782608695652174,0.5652173913043478
51,hr,2,0.550561797752809,0.6086956521739131,0.2608695652173913
51,eda,0,0.5393258426966292,0.5652173913043478,0.43478260869565216
51,eda,1,0.6629213483146067,0.4782608695652174,0.34782608695652173
51,eda,2,0.6067415730337079,0.391304347826087,0.5652173913043478
51,pupil,0,0.6629213483146067,0.5652173913043478,0.4782608695652174
51,pupil,1,0.7191011235955056,0.43478260869565216,0.43478260869565216
51,pupil,2,0.6741573033707865,0.6956521739130435,0.391304347826087
52,hr,0,0.5393258426966292,0.34782608695652173,0.4782608695652174
52,hr,1,0.5617977528089888,0.34782608695652173,0.5217391304347826
52,hr,2,0.5617977528089888,0.5652173913043478,0.43478260869565216
52,eda,0,0.6179775280898876,0.5652173913043478,0.43478260869565216
52,eda,1,0.5842696629213483,0.43478260869565216,0.391304347826087
52,eda,2,0.6179775280898876,0.4782608695652174,0.6086956521739131
52,pupil,0,0.6404494382022472,0.5652173913043478,0.4782608695652174
52,pupil,1,0.5955056179775281,0.4782608695652174,0.391304347826087
52,pupil,2,0.7415730337078652,0.5217391304347826,0.5217391304347826
53,hr,0,0.6741573033707865,0.5652173913043478,0.5217391304347826
53,hr,1,0.5955056179775281,0.6956521739130435,0.5652173913043478
53,hr,2,0.6741573033707865,0.5652173913043478,0.391304347826087
53,eda,0,0.6404494382022472,0.43478260869565216,0.391304347826087
53,eda,1,0.550561797752809,0.7391304347826086,0.6086956521739131
53,eda,2,0.6292134831460674,0.43478260869565216,0.4782608695652174
53,pupil,0,0.7078651685393258,0.5217391304347826,0.34782608695652173
53,pupil,1,0.7078651685393258,0.6086956521739131,0.5652173913043478
53,pupil,2,0.7191011235955056,0.6086956521739131,0.6521739130434783
54,hr,0,0.5955056179775281,0.6086956521739131,0.5217391304347826
54,hr,1,0.5730337078651685,0.5652173913043478,0.4782608695652174
54,hr,2,0.550561797752809,0.5652173913043478,0.34782608695652173
54,eda,0,0.6966292134831461,0.7391304347826086,0.6521739130434783
54,eda,1,0.7303370786516854,0.6956521739130435,0.5652173913043478
54,eda,2,0.7528089887640449,0.5652173913043478,0.7391304347826086
54,pupil,0,0.6404494382022472,0.6521739130434783,0.391304347826087
54,pupil,1,0.6629213483146067,0.5217391304347826,0.391304347826087
54,pupil,2,0.7640449438202247,0.5217391304347826,0.5652173913043478
55,hr,0,0.5617977528089888,0.6086956521739131,0.5652173913043478
55,hr,1,0.5168539325842697,0.391304347826087,0.6086956521739131
55,hr,2,0.5393258426966292,0.5217391304347826,0.5217391304347826
55,eda,0,0.5617977528089888,0.5652173913043478,0.4782608695652174
55,eda,1,0.6067415730337079,0.4782608695652174,0.5652173913043478
55,eda,2,0.6179775280898876,0.6521739130434783,0.43478260869565216
55,pupil,0,0.6404494382022472,0.8695652173913043,0.2608695652173913
55,pupil,1,0.6853932584269663,0.43478260869565216,0.391304347826087
55,pupil,2,0.6966292134831461,0.6956521739130435,0.4782608695652174
