,first layer,second layer,train,test
80,30,230,0.9986263736263735,0.542016806722689
81,30,240,0.9986263736263735,0.5462184873949579
82,30,250,0.9986263736263735,0.5409663865546218
83,30,260,0.9986263736263735,0.5430672268907563
84,30,270,0.9986263736263735,0.5388655462184874
85,30,280,0.9986263736263735,0.5493697478991596
86,30,290,0.9986263736263735,0.5483193277310924
87,40,10,0.9981684981684982,0.551470588235294
88,40,20,0.9986263736263735,0.5504201680672268
89,40,30,0.9986263736263735,0.5483193277310924
90,40,40,0.9986263736263735,0.5493697478991596
91,40,50,0.9986263736263735,0.5430672268907563
92,40,60,0.9986263736263735,0.5441176470588236
93,40,70,0.9986263736263735,0.5451680672268907
94,40,80,0.9986263736263735,0.5388655462184874
95,40,90,0.9986263736263735,0.5462184873949579
96,40,100,0.9986263736263735,0.5504201680672268
97,40,110,0.9986263736263735,0.5399159663865546
98,40,120,0.9986263736263735,0.5367647058823529
99,40,130,0.9986263736263735,0.5609243697478992
100,40,140,0.9986263736263735,0.5493697478991596
101,40,150,0.9986263736263735,0.5535714285714286
102,40,160,0.9986263736263735,0.5504201680672268
103,40,170,0.9986263736263735,0.5493697478991596
104,40,180,0.9986263736263735,0.5388655462184874
105,40,190,0.9986263736263735,0.5493697478991597
106,40,200,0.9986263736263735,0.5556722689075629
107,40,210,0.9986263736263735,0.5619747899159664
108,40,220,0.9986263736263735,0.5357142857142857
109,40,230,0.9986263736263735,0.5451680672268907
110,40,240,0.9986263736263735,0.5483193277310925
111,40,250,0.9986263736263735,0.5378151260504201
112,40,260,0.9986263736263735,0.5346638655462185
113,40,270,0.9986263736263735,0.5409663865546218
114,40,280,0.9986263736263735,0.5472689075630253
115,40,290,0.9986263736263735,0.546218487394958
116,50,10,0.9986263736263735,0.5409663865546218
117,50,20,0.9986263736263735,0.5483193277310924
118,50,30,0.9986263736263735,0.5472689075630252
119,50,40,0.9986263736263735,0.5577731092436974
120,50,50,0.9986263736263735,0.5409663865546218
121,50,60,0.9986263736263735,0.5556722689075629
122,50,70,0.9986263736263735,0.5535714285714285
123,50,80,0.9986263736263735,0.5409663865546218
124,50,90,0.9986263736263735,0.5367647058823529
125,50,100,0.9986263736263735,0.5441176470588235
126,50,110,0.9986263736263735,0.5462184873949579
127,50,120,0.9986263736263735,0.5451680672268907
128,50,130,0.9986263736263735,0.5504201680672269
129,50,140,0.9986263736263735,0.5535714285714285
130,50,150,0.9986263736263735,0.5472689075630252
131,50,160,0.9986263736263735,0.5451680672268907
132,50,170,0.9986263736263735,0.5378151260504201
133,50,180,0.9986263736263735,0.5430672268907563
134,50,190,0.9986263736263735,0.542016806722689
135,50,200,0.9986263736263735,0.5441176470588235
136,50,210,0.9986263736263735,0.551470588235294
137,50,220,0.9986263736263735,0.5388655462184874
138,50,230,0.9986263736263735,0.5504201680672268
139,50,240,0.9986263736263735,0.5336134453781513
140,50,250,0.9986263736263735,0.5367647058823529
141,50,260,0.9986263736263735,0.5315126050420168
142,50,270,0.9986263736263735,0.551470588235294
143,50,280,0.9986263736263735,0.5388655462184874
144,50,290,0.9986263736263735,0.5451680672268907
145,60,10,0.9981684981684982,0.5535714285714285
146,60,20,0.9986263736263735,0.5357142857142857
147,60,30,0.9986263736263735,0.5472689075630252
148,60,40,0.9986263736263735,0.542016806722689
149,60,50,0.9986263736263735,0.5483193277310924
150,60,60,0.9986263736263735,0.5546218487394958
151,60,70,0.9986263736263735,0.5472689075630252
152,60,80,0.9986263736263735,0.5367647058823529
153,60,90,0.9986263736263735,0.5609243697478992
154,60,100,0.9986263736263735,0.5451680672268907
155,60,110,0.9986263736263735,0.5367647058823529
156,60,120,0.9986263736263735,0.5514705882352942
157,60,130,0.9986263736263735,0.5493697478991596
158,60,140,0.9986263736263735,0.5535714285714286
159,60,150,0.9986263736263735,0.5598739495798318
160,60,160,0.9986263736263735,0.5430672268907563
161,60,170,0.9986263736263735,0.542016806722689
162,60,180,0.9986263736263735,0.5409663865546218
163,60,190,0.9986263736263735,0.5441176470588235
164,60,200,0.9986263736263735,0.5367647058823529
