subject,k,fold,feature,train,test
6,10,1,gaze,0.48314606741573035,0.2608695652173913
6,10,2,gaze,0.550561797752809,0.5217391304347826
6,12,0,gaze,0.5393258426966292,0.391304347826087
6,12,1,gaze,0.4943820224719101,0.4782608695652174
6,12,2,gaze,0.42696629213483145,0.43478260869565216
6,15,0,gaze,0.5393258426966292,0.4782608695652174
6,15,1,gaze,0.4943820224719101,0.6086956521739131
6,15,2,gaze,0.5393258426966292,0.4782608695652174
6,20,0,gaze,0.5617977528089888,0.4782608695652174
6,20,1,gaze,0.6292134831460674,0.4782608695652174
6,20,2,gaze,0.5168539325842697,0.5652173913043478
6,23,0,gaze,0.5730337078651685,0.6956521739130435
6,23,1,gaze,0.30337078651685395,0.4782608695652174
6,23,2,gaze,0.449438202247191,0.5652173913043478
7,2,0,gaze,0.5168539325842697,0.4782608695652174
7,2,1,gaze,0.5393258426966292,0.6086956521739131
7,2,2,gaze,0.550561797752809,0.43478260869565216
7,6,0,gaze,0.449438202247191,0.4782608695652174
7,6,1,gaze,0.550561797752809,0.5652173913043478
7,6,2,gaze,0.5168539325842697,0.6086956521739131
7,10,0,gaze,0.47191011235955055,0.4782608695652174
7,10,1,gaze,0.5393258426966292,0.4782608695652174
7,10,2,gaze,0.4044943820224719,0.391304347826087
7,12,0,gaze,0.48314606741573035,0.5217391304347826
7,12,1,gaze,0.449438202247191,0.4782608695652174
7,12,2,gaze,0.4943820224719101,0.43478260869565216
7,15,0,gaze,0.5393258426966292,0.5652173913043478
7,15,1,gaze,0.5393258426966292,0.391304347826087
7,15,2,gaze,0.5280898876404494,0.5652173913043478
7,20,0,gaze,0.5617977528089888,0.6521739130434783
7,20,1,gaze,0.5393258426966292,0.5652173913043478
7,20,2,gaze,0.5730337078651685,0.391304347826087
7,23,0,gaze,0.5280898876404494,0.6086956521739131
7,23,1,gaze,0.4606741573033708,0.5652173913043478
7,23,2,gaze,0.47191011235955055,0.43478260869565216
13,2,0,gaze,0.5617977528089888,0.5652173913043478
13,2,1,gaze,0.5168539325842697,0.4782608695652174
13,2,2,gaze,0.5730337078651685,0.4782608695652174
13,6,0,gaze,0.4943820224719101,0.6521739130434783
13,6,1,gaze,0.4157303370786517,0.6086956521739131
13,6,2,gaze,0.5730337078651685,0.30434782608695654
13,10,0,gaze,0.4943820224719101,0.5217391304347826
13,10,1,gaze,0.5168539325842697,0.391304347826087
13,10,2,gaze,0.6067415730337079,0.43478260869565216
13,12,0,gaze,0.5168539325842697,0.5217391304347826
13,12,1,gaze,0.5056179775280899,0.6086956521739131
13,12,2,gaze,0.47191011235955055,0.5652173913043478
13,15,0,gaze,0.5280898876404494,0.4782608695652174
13,15,1,gaze,0.550561797752809,0.5217391304347826
13,15,2,gaze,0.5280898876404494,0.5217391304347826
13,20,0,gaze,0.47191011235955055,0.6956521739130435
13,20,1,gaze,0.5056179775280899,0.43478260869565216
13,20,2,gaze,0.5617977528089888,0.6521739130434783
13,23,0,gaze,0.4606741573033708,0.5217391304347826
13,23,1,gaze,0.5280898876404494,0.43478260869565216
13,23,2,gaze,0.4943820224719101,0.6086956521739131
15,2,0,gaze,0.5056179775280899,0.5652173913043478
15,2,1,gaze,0.48314606741573035,0.34782608695652173
15,2,2,gaze,0.5168539325842697,0.2608695652173913
15,6,0,gaze,0.4606741573033708,0.5217391304347826
15,6,1,gaze,0.6179775280898876,0.43478260869565216
15,6,2,gaze,0.4044943820224719,0.43478260869565216
15,10,0,gaze,0.5056179775280899,0.5652173913043478
15,10,1,gaze,0.6292134831460674,0.5652173913043478
15,10,2,gaze,0.48314606741573035,0.5652173913043478
15,12,0,gaze,0.5393258426966292,0.4782608695652174
15,12,1,gaze,0.5168539325842697,0.4782608695652174
15,12,2,gaze,0.550561797752809,0.391304347826087
15,15,0,gaze,0.48314606741573035,0.43478260869565216
15,15,1,gaze,0.48314606741573035,0.4782608695652174
15,15,2,gaze,0.48314606741573035,0.391304347826087
15,20,0,gaze,0.4606741573033708,0.4782608695652174
15,20,1,gaze,0.42696629213483145,0.43478260869565216
15,20,2,gaze,0.5393258426966292,0.4782608695652174
15,23,0,gaze,0.48314606741573035,0.5652173913043478
15,23,1,gaze,0.5393258426966292,0.5652173913043478
15,23,2,gaze,0.5280898876404494,0.5217391304347826
16,2,0,gaze,0.4943820224719101,0.5217391304347826
16,2,1,gaze,0.5168539325842697,0.4782608695652174
16,2,2,gaze,0.4943820224719101,0.5217391304347826
16,6,0,gaze,0.4606741573033708,0.391304347826087
16,6,1,gaze,0.5280898876404494,0.5217391304347826
