,first layer,second layer,train,test
180,70,70,1.0,0.6260504201680671
181,70,80,1.0,0.6155462184873949
182,70,90,1.0,0.6134453781512604
183,70,100,1.0,0.6039915966386555
184,70,110,1.0,0.6165966386554622
185,70,120,1.0,0.6228991596638656
186,70,130,1.0,0.6050420168067229
187,70,140,1.0,0.6281512605042018
188,70,150,1.0,0.619747899159664
189,70,160,1.0,0.6165966386554622
190,70,170,1.0,0.6186974789915967
191,70,180,1.0,0.6123949579831933
192,70,190,1.0,0.6165966386554622
193,70,200,1.0,0.6113445378151262
194,70,210,1.0,0.6092436974789918
195,70,220,1.0,0.623949579831933
196,70,230,1.0,0.6102941176470589
197,70,240,1.0,0.6092436974789915
198,70,250,1.0,0.6207983193277311
199,70,260,1.0,0.6228991596638656
200,70,270,1.0,0.6155462184873949
201,70,280,1.0,0.6155462184873951
202,70,290,1.0,0.6144957983193278
203,80,10,0.9995361781076068,0.60609243697479
204,80,20,1.0,0.6029411764705882
205,80,30,1.0,0.6197478991596638
206,80,40,1.0,0.6165966386554622
207,80,50,1.0,0.6207983193277311
208,80,60,1.0,0.6123949579831932
209,80,70,1.0,0.6155462184873951
210,80,80,1.0,0.6092436974789915
211,80,90,1.0,0.6165966386554622
212,80,100,1.0,0.6092436974789914
213,80,110,1.0,0.6092436974789915
214,80,120,1.0,0.6144957983193278
215,80,130,1.0,0.6186974789915968
216,80,140,1.0,0.6292016806722689
217,80,150,1.0,0.6176470588235293
218,80,160,1.0,0.6176470588235293
219,80,170,1.0,0.6176470588235293
220,80,180,1.0,0.6134453781512604
221,80,190,1.0,0.6218487394957982
222,80,200,1.0,0.6165966386554622
223,80,210,1.0,0.6155462184873949
224,80,220,1.0,0.6207983193277311
225,80,230,1.0,0.5882352941176471
226,80,240,1.0,0.6186974789915967
227,80,250,1.0,0.6102941176470589
228,80,260,1.0,0.6155462184873951
229,80,270,1.0,0.6039915966386554
230,80,280,1.0,0.6228991596638654
231,80,290,1.0,0.60609243697479
232,90,10,1.0,0.5997899159663865
233,90,20,1.0,0.6155462184873951
234,90,30,1.0,0.6176470588235293
235,90,40,1.0,0.6228991596638657
236,90,50,1.0,0.5987394957983195
237,90,60,1.0,0.5997899159663865
238,90,70,1.0,0.6029411764705882
239,90,80,1.0,0.6008403361344538
240,90,90,1.0,0.6207983193277311
241,90,100,1.0,0.6071428571428573
242,90,110,1.0,0.611344537815126
243,90,120,1.0,0.6144957983193278
244,90,130,1.0,0.6039915966386554
245,90,140,1.0,0.6123949579831932
246,90,150,1.0,0.6134453781512604
247,90,160,1.0,0.6060924369747899
248,90,170,1.0,0.6039915966386554
249,90,180,1.0,0.6123949579831933
250,90,190,1.0,0.6239495798319329
251,90,200,1.0,0.6071428571428571
252,90,210,1.0,0.6102941176470589
253,90,220,1.0,0.6123949579831932
254,90,230,1.0,0.625
255,90,240,1.0,0.6239495798319327
256,90,250,1.0,0.6071428571428571
257,90,260,1.0,0.6144957983193278
258,90,270,1.0,0.6018907563025211
259,90,280,1.0,0.6102941176470589
