subject,k,fold,train,test
46,20,2,0.8651685393258427,0.391304347826087
47,2,0,0.5393258426966292,0.4782608695652174
47,2,1,0.449438202247191,0.5217391304347826
47,2,2,0.5730337078651685,0.391304347826087
47,6,0,0.6179775280898876,0.34782608695652173
47,6,1,0.5168539325842697,0.5652173913043478
47,6,2,0.5056179775280899,0.5217391304347826
47,10,0,0.7415730337078652,0.4782608695652174
47,10,1,0.8651685393258427,0.6086956521739131
47,10,2,0.7640449438202247,0.4782608695652174
47,12,0,0.7752808988764045,0.4782608695652174
47,12,1,0.7865168539325843,0.5652173913043478
47,12,2,0.9662921348314607,0.34782608695652173
47,15,0,1.0,0.30434782608695654
47,15,1,1.0,0.5652173913043478
47,15,2,0.9662921348314607,0.391304347826087
47,20,0,1.0,0.4782608695652174
47,20,1,0.9775280898876404,0.34782608695652173
47,20,2,1.0,0.6086956521739131
48,2,0,0.6067415730337079,0.6086956521739131
48,2,1,0.550561797752809,0.5652173913043478
48,2,2,0.6292134831460674,0.5217391304347826
48,6,0,0.6966292134831461,0.391304347826087
48,6,1,0.7078651685393258,0.4782608695652174
48,6,2,0.6067415730337079,0.43478260869565216
48,10,0,0.7865168539325843,0.6956521739130435
48,10,1,0.7640449438202247,0.43478260869565216
48,10,2,0.6966292134831461,0.4782608695652174
48,12,0,0.9101123595505618,0.34782608695652173
48,12,1,0.898876404494382,0.5217391304347826
48,12,2,0.9325842696629213,0.6956521739130435
48,15,0,0.8426966292134831,0.30434782608695654
48,15,1,0.9438202247191011,0.4782608695652174
48,15,2,0.9438202247191011,0.6521739130434783
48,20,0,0.898876404494382,0.30434782608695654
48,20,1,0.9101123595505618,0.5217391304347826
48,20,2,0.9550561797752809,0.6086956521739131
50,2,0,0.5955056179775281,0.4782608695652174
50,2,1,0.5730337078651685,0.391304347826087
50,2,2,0.5393258426966292,0.5217391304347826
50,6,0,0.5730337078651685,0.5217391304347826
50,6,1,0.5617977528089888,0.4782608695652174
50,6,2,0.5730337078651685,0.6086956521739131
50,10,0,0.9101123595505618,0.4782608695652174
50,10,1,0.9550561797752809,0.2608695652173913
50,10,2,0.7303370786516854,0.4782608695652174
50,12,0,0.9887640449438202,0.5217391304347826
50,12,1,1.0,0.43478260869565216
50,12,2,0.7528089887640449,0.4782608695652174
50,15,0,1.0,0.4782608695652174
50,15,1,0.9775280898876404,0.43478260869565216
50,15,2,0.8539325842696629,0.391304347826087
50,20,0,1.0,0.5217391304347826
50,20,1,0.9775280898876404,0.391304347826087
50,20,2,0.9101123595505618,0.5217391304347826
51,2,0,0.5280898876404494,0.6521739130434783
51,2,1,0.5955056179775281,0.391304347826087
51,2,2,0.5955056179775281,0.5217391304347826
51,6,0,0.5056179775280899,0.6086956521739131
51,6,1,0.5955056179775281,0.6956521739130435
51,6,2,0.5617977528089888,0.5217391304347826
51,10,0,0.5842696629213483,0.6086956521739131
51,10,1,0.6292134831460674,0.5217391304347826
51,10,2,0.6179775280898876,0.4782608695652174
51,12,0,0.898876404494382,0.5652173913043478
51,12,1,0.8314606741573034,0.6521739130434783
51,12,2,0.9213483146067416,0.5217391304347826
51,15,0,1.0,0.6521739130434783
51,15,1,0.9550561797752809,0.782608695652174
51,15,2,1.0,0.43478260869565216
51,20,0,1.0,0.6086956521739131
51,20,1,0.9438202247191011,0.34782608695652173
51,20,2,1.0,0.43478260869565216
52,2,0,0.5730337078651685,0.391304347826087
52,2,1,0.550561797752809,0.4782608695652174
52,2,2,0.5842696629213483,0.5217391304347826
52,6,0,0.5730337078651685,0.21739130434782608
52,6,1,0.5730337078651685,0.34782608695652173
52,6,2,0.5842696629213483,0.5217391304347826
52,10,0,0.797752808988764,0.6086956521739131
52,10,1,0.7640449438202247,0.5652173913043478
52,10,2,0.6966292134831461,0.5652173913043478
52,12,0,1.0,0.6956521739130435
52,12,1,0.9775280898876404,0.5652173913043478
52,12,2,0.7528089887640449,0.4782608695652174
52,15,0,1.0,0.6521739130434783
52,15,1,0.9325842696629213,0.6521739130434783
52,15,2,0.9213483146067416,0.5652173913043478
52,20,0,1.0,0.30434782608695654
52,20,1,1.0,0.34782608695652173
52,20,2,0.9775280898876404,0.5217391304347826
53,2,0,0.5056179775280899,0.43478260869565216
53,2,1,0.5393258426966292,0.5652173913043478
53,2,2,0.5393258426966292,0.4782608695652174
53,6,0,0.6292134831460674,0.5217391304347826
53,6,1,0.6179775280898876,0.4782608695652174
53,6,2,0.651685393258427,0.43478260869565216
53,10,0,0.6629213483146067,0.4782608695652174
53,10,1,0.6966292134831461,0.43478260869565216
53,10,2,0.6629213483146067,0.43478260869565216
53,12,0,0.797752808988764,0.5217391304347826
