subject,k,fold,feature,train,test
4,6,0,hr,0.4606741573033708,0.34782608695652173
4,6,1,hr,0.5842696629213483,0.43478260869565216
4,6,2,hr,0.550561797752809,0.30434782608695654
4,6,0,eda,0.5955056179775281,0.2608695652173913
4,6,1,eda,0.5393258426966292,0.391304347826087
4,6,2,eda,0.5393258426966292,0.782608695652174
4,6,0,pupil,0.5393258426966292,0.43478260869565216
4,6,1,pupil,0.5617977528089888,0.5217391304347826
4,6,2,pupil,0.43820224719101125,0.30434782608695654
4,10,0,hr,0.5168539325842697,0.7391304347826086
4,10,1,hr,0.5617977528089888,0.5652173913043478
4,10,2,hr,0.5842696629213483,0.6521739130434783
4,10,0,eda,0.5056179775280899,0.5652173913043478
4,10,1,eda,0.6179775280898876,0.4782608695652174
4,10,2,eda,0.449438202247191,0.391304347826087
4,10,0,pupil,0.5842696629213483,0.43478260869565216
4,10,1,pupil,0.6292134831460674,0.6521739130434783
4,10,2,pupil,0.5617977528089888,0.391304347826087
4,12,0,hr,0.5056179775280899,0.6521739130434783
4,12,1,hr,0.4943820224719101,0.5217391304347826
4,12,2,hr,0.5842696629213483,0.391304347826087
4,12,0,eda,0.48314606741573035,0.5652173913043478
4,12,1,eda,0.4943820224719101,0.2608695652173913
4,12,2,eda,0.4157303370786517,0.2608695652173913
4,12,0,pupil,0.6179775280898876,0.30434782608695654
4,12,1,pupil,0.5617977528089888,0.5217391304347826
4,12,2,pupil,0.5168539325842697,0.391304347826087
4,15,0,hr,0.48314606741573035,0.30434782608695654
4,15,1,hr,0.5393258426966292,0.5652173913043478
4,15,2,hr,0.5842696629213483,0.43478260869565216
4,15,0,eda,0.5617977528089888,0.5652173913043478
4,15,1,eda,0.5842696629213483,0.5217391304347826
4,15,2,eda,0.47191011235955055,0.6086956521739131
4,15,0,pupil,0.651685393258427,0.30434782608695654
4,15,1,pupil,0.5730337078651685,0.391304347826087
4,15,2,pupil,0.5280898876404494,0.4782608695652174
4,20,0,hr,0.47191011235955055,0.391304347826087
4,20,1,hr,0.449438202247191,0.391304347826087
4,20,2,hr,0.5056179775280899,0.43478260869565216
4,20,0,eda,0.5280898876404494,0.6521739130434783
4,20,1,eda,0.5280898876404494,0.5652173913043478
4,20,2,eda,0.5280898876404494,0.6521739130434783
4,20,0,pupil,0.5842696629213483,0.4782608695652174
4,20,1,pupil,0.5280898876404494,0.6521739130434783
4,20,2,pupil,0.5730337078651685,0.5217391304347826
4,23,0,hr,0.5393258426966292,0.5652173913043478
4,23,1,hr,0.5168539325842697,0.6086956521739131
