subject,k,fold,train,test
43,6,0,0.5842696629213483,0.4782608695652174
43,6,1,0.4606741573033708,0.43478260869565216
43,6,2,0.550561797752809,0.5652173913043478
44,2,0,0.5280898876404494,0.391304347826087
44,2,1,0.4943820224719101,0.391304347826087
44,2,2,0.5730337078651685,0.5217391304347826
44,4,0,0.5393258426966292,0.4782608695652174
44,4,1,0.43820224719101125,0.43478260869565216
44,4,2,0.449438202247191,0.5217391304347826
44,6,0,0.48314606741573035,0.391304347826087
44,6,1,0.48314606741573035,0.4782608695652174
44,6,2,0.449438202247191,0.6521739130434783
45,2,0,0.6292134831460674,0.43478260869565216
45,2,1,0.5955056179775281,0.2608695652173913
45,2,2,0.5280898876404494,0.6086956521739131
45,4,0,0.47191011235955055,0.4782608695652174
45,4,1,0.5056179775280899,0.2608695652173913
45,4,2,0.5730337078651685,0.5217391304347826
45,6,0,0.3707865168539326,0.5652173913043478
45,6,1,0.4943820224719101,0.17391304347826086
45,6,2,0.550561797752809,0.5652173913043478
46,2,0,0.5280898876404494,0.391304347826087
46,2,1,0.5168539325842697,0.391304347826087
46,2,2,0.5617977528089888,0.30434782608695654
46,4,0,0.449438202247191,0.5217391304347826
46,4,1,0.4943820224719101,0.4782608695652174
46,4,2,0.48314606741573035,0.5217391304347826
46,6,0,0.449438202247191,0.43478260869565216
46,6,1,0.5056179775280899,0.4782608695652174
46,6,2,0.47191011235955055,0.30434782608695654
47,2,0,0.4157303370786517,0.5217391304347826
47,2,1,0.4943820224719101,0.391304347826087
47,2,2,0.4044943820224719,0.5652173913043478
47,4,0,0.5955056179775281,0.4782608695652174
47,4,1,0.5168539325842697,0.6521739130434783
47,4,2,0.43820224719101125,0.5217391304347826
47,6,0,0.6067415730337079,0.4782608695652174
47,6,1,0.47191011235955055,0.6956521739130435
47,6,2,0.4157303370786517,0.43478260869565216
48,2,0,0.5393258426966292,0.6521739130434783
48,2,1,0.5842696629213483,0.4782608695652174
48,2,2,0.5842696629213483,0.4782608695652174
48,4,0,0.42696629213483145,0.6521739130434783
48,4,1,0.48314606741573035,0.4782608695652174
48,4,2,0.5730337078651685,0.6521739130434783
48,6,0,0.5393258426966292,0.6086956521739131
48,6,1,0.4157303370786517,0.5217391304347826
48,6,2,0.6292134831460674,0.6956521739130435
50,2,0,0.48314606741573035,0.4782608695652174
50,2,1,0.5168539325842697,0.4782608695652174
50,2,2,0.5056179775280899,0.4782608695652174
50,4,0,0.449438202247191,0.5217391304347826
50,4,1,0.4943820224719101,0.43478260869565216
50,4,2,0.5056179775280899,0.6956521739130435
50,6,0,0.43820224719101125,0.4782608695652174
50,6,1,0.43820224719101125,0.5217391304347826
50,6,2,0.449438202247191,0.5652173913043478
51,2,0,0.550561797752809,0.6521739130434783
51,2,1,0.6404494382022472,0.391304347826087
51,2,2,0.5842696629213483,0.5217391304347826
51,4,0,0.5730337078651685,0.6521739130434783
51,4,1,0.42696629213483145,0.6521739130434783
51,4,2,0.5056179775280899,0.5652173913043478
51,6,0,0.5393258426966292,0.43478260869565216
51,6,1,0.4606741573033708,0.7391304347826086
51,6,2,0.47191011235955055,0.5217391304347826
52,2,0,0.550561797752809,0.30434782608695654
52,2,1,0.5168539325842697,0.34782608695652173
52,2,2,0.48314606741573035,0.4782608695652174
52,4,0,0.5617977528089888,0.30434782608695654
52,4,1,0.48314606741573035,0.391304347826087
52,4,2,0.4606741573033708,0.43478260869565216
52,6,0,0.5393258426966292,0.6956521739130435
52,6,1,0.4606741573033708,0.4782608695652174
52,6,2,0.5056179775280899,0.4782608695652174
53,2,0,0.449438202247191,0.391304347826087
53,2,1,0.5056179775280899,0.5217391304347826
53,2,2,0.5617977528089888,0.5652173913043478
53,4,0,0.6179775280898876,0.4782608695652174
53,4,1,0.48314606741573035,0.5652173913043478
53,4,2,0.6179775280898876,0.5217391304347826
53,6,0,0.5168539325842697,0.5217391304347826
53,6,1,0.5280898876404494,0.5217391304347826
53,6,2,0.5730337078651685,0.43478260869565216
54,2,0,0.5056179775280899,0.5652173913043478
54,2,1,0.5842696629213483,0.43478260869565216
54,2,2,0.5393258426966292,0.6086956521739131
54,4,0,0.47191011235955055,0.34782608695652173
54,4,1,0.5393258426966292,0.5217391304347826
54,4,2,0.47191011235955055,0.391304347826087
54,6,0,0.5393258426966292,0.7391304347826086
54,6,1,0.4943820224719101,0.43478260869565216
54,6,2,0.42696629213483145,0.34782608695652173
55,2,0,0.5280898876404494,0.4782608695652174
55,2,1,0.5617977528089888,0.5217391304347826
55,2,2,0.5842696629213483,0.43478260869565216
55,4,0,0.4943820224719101,0.43478260869565216
55,4,1,0.5056179775280899,0.4782608695652174
55,4,2,0.5393258426966292,0.5652173913043478
55,6,0,0.4157303370786517,0.6956521739130435
55,6,1,0.5056179775280899,0.4782608695652174
55,6,2,0.550561797752809,0.43478260869565216
