,Subject,Latent dimension,Feature type,Train accuracy,Validation Accuracy,Test accuracy,Validation accuracy
149,44,6,pupil,0.6794871794871795,,0.34782608695652173,0.6363636363636364
150,44,7,hr,0.9358974358974359,,0.34782608695652173,0.6363636363636364
151,44,7,eda,0.6282051282051282,,0.4782608695652174,0.36363636363636365
152,44,7,pupil,0.6794871794871795,,0.5652173913043478,0.36363636363636365
153,44,8,hr,0.9358974358974359,,0.34782608695652173,0.6363636363636364
154,44,8,eda,0.6666666666666666,,0.5652173913043478,0.36363636363636365
155,44,8,pupil,0.6666666666666666,,0.6521739130434783,0.36363636363636365
156,44,9,hr,0.9743589743589743,,0.34782608695652173,0.6363636363636364
157,44,9,eda,0.6410256410256411,,0.34782608695652173,0.6363636363636364
158,44,9,pupil,0.6538461538461539,,0.6956521739130435,0.36363636363636365
159,44,10,hr,0.8589743589743589,,0.30434782608695654,0.5454545454545454
160,44,10,eda,0.8974358974358975,,0.6086956521739131,0.36363636363636365
161,44,10,pupil,0.6538461538461539,,0.6521739130434783,0.36363636363636365
162,45,2,hr,0.6410256410256411,,0.5217391304347826,0.7272727272727273
163,45,2,eda,0.6153846153846154,,0.7391304347826086,0.6363636363636364
164,45,2,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
165,45,3,hr,0.6794871794871795,,0.4782608695652174,0.45454545454545453
166,45,3,eda,0.6666666666666666,,0.5652173913043478,0.6363636363636364
167,45,3,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
168,45,4,hr,0.6794871794871795,,0.43478260869565216,0.45454545454545453
169,45,4,eda,0.6538461538461539,,0.6521739130434783,0.8181818181818182
170,45,4,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
171,45,5,hr,0.8717948717948718,,0.6521739130434783,0.9090909090909091
172,45,5,eda,0.7307692307692307,,0.8260869565217391,0.5454545454545454
173,45,5,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
174,45,6,hr,0.8333333333333334,,0.6521739130434783,0.9090909090909091
175,45,6,eda,0.7564102564102564,,0.8260869565217391,0.7272727272727273
176,45,6,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
177,45,7,hr,0.8205128205128205,,0.6521739130434783,0.9090909090909091
178,45,7,eda,0.7692307692307693,,0.8695652173913043,0.7272727272727273
179,45,7,pupil,0.6410256410256411,,0.6521739130434783,0.9090909090909091
180,45,8,hr,0.8717948717948718,,0.6521739130434783,0.9090909090909091
181,45,8,eda,0.7564102564102564,,0.6521739130434783,0.45454545454545453
182,45,8,pupil,0.6410256410256411,,0.7391304347826086,0.6363636363636364
183,45,9,hr,0.9743589743589743,,0.5652173913043478,0.7272727272727273
184,45,9,eda,0.782051282051282,,0.8260869565217391,0.7272727272727273
185,45,9,pupil,0.6538461538461539,,0.7391304347826086,0.5454545454545454
186,45,10,hr,0.9743589743589743,,0.6521739130434783,0.9090909090909091
187,45,10,eda,0.7564102564102564,,0.34782608695652173,0.18181818181818182
188,45,10,pupil,0.6410256410256411,,0.4782608695652174,0.9090909090909091
189,46,2,hr,0.6025641025641025,,0.6521739130434783,0.45454545454545453
190,46,2,eda,0.5384615384615384,,0.5217391304347826,0.5454545454545454
191,46,2,pupil,0.6025641025641025,,0.6521739130434783,0.45454545454545453
192,46,3,hr,0.6025641025641025,,0.5652173913043478,0.6363636363636364
193,46,3,eda,0.5769230769230769,,0.34782608695652173,0.5454545454545454
194,46,3,pupil,0.6025641025641025,,0.6521739130434783,0.45454545454545453
195,46,4,hr,0.6666666666666666,,0.6521739130434783,0.45454545454545453
196,46,4,eda,0.5641025641025641,,0.4782608695652174,0.45454545454545453
197,46,4,pupil,0.6282051282051282,,0.6521739130434783,0.45454545454545453
198,46,5,hr,0.6666666666666666,,0.6521739130434783,0.45454545454545453
199,46,5,eda,0.5897435897435898,,0.5652173913043478,0.5454545454545454
200,46,5,pupil,0.6153846153846154,,0.6086956521739131,0.36363636363636365
201,46,6,hr,0.6025641025641025,,0.6521739130434783,0.45454545454545453
202,46,6,eda,0.7564102564102564,,0.6521739130434783,0.45454545454545453
203,46,6,pupil,0.6153846153846154,,0.7391304347826086,0.36363636363636365
204,46,7,hr,0.6666666666666666,,0.4782608695652174,0.45454545454545453
205,46,7,eda,0.7435897435897436,,0.6086956521739131,0.5454545454545454
206,46,7,pupil,0.6153846153846154,,0.6521739130434783,0.45454545454545453
207,46,8,hr,0.9102564102564102,,0.6521739130434783,0.45454545454545453
208,46,8,eda,0.6282051282051282,,0.5217391304347826,0.5454545454545454
209,46,8,pupil,0.6282051282051282,,0.6521739130434783,0.5454545454545454
210,46,9,hr,0.8461538461538461,,0.5217391304347826,0.45454545454545453
211,46,9,eda,0.6794871794871795,,0.8260869565217391,0.5454545454545454
212,46,9,pupil,0.6282051282051282,,0.7391304347826086,0.2727272727272727
213,46,10,hr,1.0,,0.34782608695652173,0.5454545454545454
214,46,10,eda,0.6282051282051282,,0.30434782608695654,0.5454545454545454
215,46,10,pupil,0.6153846153846154,,0.6521739130434783,0.36363636363636365
216,47,2,hr,0.5769230769230769,,0.5652173913043478,0.6363636363636364
217,47,2,eda,0.5641025641025641,,0.17391304347826086,0.2727272727272727
218,47,2,pupil,0.5641025641025641,,0.6086956521739131,0.8181818181818182
219,47,3,hr,0.7948717948717948,,0.391304347826087,0.18181818181818182
220,47,3,eda,0.6025641025641025,,0.5217391304347826,0.8181818181818182
