expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender,ROI
LookAtMe1.2,51,2,2,1,2,82,23,,-99.0,False,stim\morph\3&4 40.jpg,2019-03-21 11:39:20,3,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,83,34,2.0,1.8431121036410327,False,stim\morph\5&6 40.jpg,2019-03-21 11:39:30,4,1,eyes
LookAtMe1.2,51,2,2,1,2,84,36,4.0,0.4386024214327335,False,stim\5 F053C + F048C.jpg,2019-03-21 11:39:38,6,1,eyes
LookAtMe1.2,51,2,2,1,2,85,31,1.0,0.710950119420886,False,stim\6 F053C.jpg,2019-03-21 11:39:46,1,1,eyes
LookAtMe1.2,51,2,2,1,2,86,22,4.0,1.0585587453097105,False,stim\morph\3&4 20.jpg,2019-03-21 11:39:55,2,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,87,36,3.0,1.3428822457790377,True,stim\5 F053C + F048C.jpg,2019-03-21 11:40:04,6,1,eyes
LookAtMe1.2,51,2,2,1,2,88,26,3.0,0.3593617789447307,False,stim\4 M078C.jpg,2019-03-21 11:40:14,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,89,35,1.0,0.3877687398344278,False,stim\morph\5&6 20.jpg,2019-03-21 11:40:24,5,1,eyes
LookAtMe1.2,51,2,2,1,2,90,21,1.0,0.4203570298850536,False,stim\3 M078C + M057C.jpg,2019-03-21 11:40:33,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,91,35,1.0,1.7719784211367369,False,stim\morph\5&6 20.jpg,2019-03-21 11:40:41,5,1,eyes
LookAtMe1.2,51,2,2,1,2,92,21,1.0,0.6411192715167999,False,stim\3 M078C + M057C.jpg,2019-03-21 11:40:50,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,93,36,4.0,0.3750243373215198,False,stim\5 F053C + F048C.jpg,2019-03-21 11:40:59,6,1,eyes
LookAtMe1.2,51,2,2,1,2,94,32,1.0,0.4612842425704002,False,stim\morph\5&6 80.jpg,2019-03-21 11:41:07,2,1,eyes
LookAtMe1.2,51,2,2,1,2,95,31,1.0,0.4370955675840378,False,stim\6 F053C.jpg,2019-03-21 11:41:17,1,1,eyes
LookAtMe1.2,51,2,2,1,2,96,36,3.0,0.4061586577445268,True,stim\5 F053C + F048C.jpg,2019-03-21 11:41:25,6,1,eyes
LookAtMe1.2,51,2,2,1,2,97,25,1.0,0.561160508543253,False,stim\morph\3&4 80.jpg,2019-03-21 11:41:35,5,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,98,34,1.0,1.4578943476080894,False,stim\morph\5&6 40.jpg,2019-03-21 11:41:45,4,1,eyes
LookAtMe1.2,51,2,2,1,2,99,26,3.0,0.7105934638530016,False,stim\4 M078C.jpg,2019-03-21 11:41:55,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,100,33,1.0,0.3453160468488931,False,stim\morph\5&6 60.jpg,2019-03-21 11:42:04,3,1,eyes
LookAtMe1.2,51,2,2,1,2,101,26,4.0,0.6006692051887512,True,stim\4 M078C.jpg,2019-03-21 11:42:13,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,102,22,1.0,1.1045726016163826,False,stim\morph\3&4 20.jpg,2019-03-21 11:42:22,2,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,103,23,1.0,0.3949751947075128,False,stim\morph\3&4 40.jpg,2019-03-21 11:42:31,3,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,104,24,1.0,0.3543526567518711,False,stim\morph\3&4 60.jpg,2019-03-21 11:42:41,4,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,105,34,3.0,1.0022514164447784,False,stim\morph\5&6 40.jpg,2019-03-21 11:42:50,4,1,eyes
LookAtMe1.2,51,2,2,1,2,106,36,4.0,1.1048243939876556,False,stim\5 F053C + F048C.jpg,2019-03-21 11:42:59,6,1,eyes
LookAtMe1.2,51,2,2,1,2,107,32,2.0,1.3160536494106054,False,stim\morph\5&6 80.jpg,2019-03-21 11:43:09,2,1,eyes
LookAtMe1.2,51,2,2,1,2,108,26,,-99.0,True,stim\4 M078C.jpg,2019-03-21 11:43:18,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,109,33,1.0,0.4944121744483709,False,stim\morph\5&6 60.jpg,2019-03-21 11:43:28,3,1,eyes
LookAtMe1.2,51,2,2,1,2,110,35,4.0,0.2946971990168094,False,stim\morph\5&6 20.jpg,2019-03-21 11:43:36,5,1,eyes
LookAtMe1.2,51,2,2,1,2,111,21,1.0,0.4214510377496481,False,stim\3 M078C + M057C.jpg,2019-03-21 11:43:45,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,112,26,4.0,0.8168727289885283,False,stim\4 M078C.jpg,2019-03-21 11:43:55,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,113,31,1.0,0.4187870789319277,False,stim\6 F053C.jpg,2019-03-21 11:44:04,1,1,eyes
LookAtMe1.2,51,2,2,1,2,114,23,1.0,0.4874908644706011,False,stim\morph\3&4 40.jpg,2019-03-21 11:44:14,3,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,115,25,1.0,0.4309365507215261,False,stim\morph\3&4 80.jpg,2019-03-21 11:44:23,5,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,116,36,2.0,0.3899282123893499,True,stim\5 F053C + F048C.jpg,2019-03-21 11:44:33,6,1,eyes
LookAtMe1.2,51,2,2,1,2,117,24,1.0,0.5361867100000381,False,stim\morph\3&4 60.jpg,2019-03-21 11:44:42,4,0,mouth_nose
